,Episodes,Scores,Time,Best Score,Best Time
0,1000,0.16,1.92,1,4
1,2000,0.12,2.28,1,6
2,3000,0.2,2.12,2,9
3,4000,0.09523809523809523,1.7619047619047619,1,4
4,5000,0.2,3.16,2,11
5,6000,0.28,3.12,2,6
6,7000,0.2,2.84,2,7
7,8000,0.25,2.5,1,6
8,9000,0.34782608695652173,2.739130434782609,2,10
9,10000,0.28,3.44,1,8
10,11000,0.125,2.6666666666666665,1,6
11,12000,0.18181818181818182,2.409090909090909,2,6
12,13000,0.3,2.6,2,6
13,14000,0.2,2.16,3,4
14,15000,0.25,3.7083333333333335,3,9
15,16000,0.22727272727272727,2.3636363636363638,2,5
16,17000,0.28,2.32,1,7
17,18000,0.43478260869565216,3.130434782608696,2,11
18,19000,0.24,2.64,1,5
19,20000,0.12,1.64,1,5
20,21000,0.44,2.44,2,7
21,22000,0.5909090909090909,2.5454545454545454,2,6
22,23000,0.32,2.48,2,6
23,24000,0.13043478260869565,1.8695652173913044,1,7
24,25000,0.24,2.36,2,8
25,26000,0.5454545454545454,3.1818181818181817,3,6
26,27000,0.391304347826087,2.9565217391304346,2,10
27,28000,0.20833333333333334,2.0833333333333335,1,6
28,29000,0.28,2.76,2,7
29,30000,0.391304347826087,3.260869565217391,2,10
30,31000,0.4782608695652174,3.1739130434782608,2,7
31,32000,0.3684210526315789,2.6315789473684212,2,8
32,33000,0.5,2.5833333333333335,2,8
33,34000,0.391304347826087,2.739130434782609,3,11
34,35000,0.3181818181818182,2.5,3,11
35,36000,0.6,3.48,2,11
36,37000,0.38095238095238093,2.5238095238095237,1,6
37,38000,0.2727272727272727,1.6818181818181819,2,4
38,39000,0.4782608695652174,2.4782608695652173,2,8
39,40000,0.4782608695652174,2.4347826086956523,2,6
40,41000,0.22727272727272727,2.090909090909091,1,5
41,42000,0.4166666666666667,2.3333333333333335,1,5
42,43000,0.4583333333333333,2.625,2,11
43,44000,0.4166666666666667,2.7083333333333335,2,6
44,45000,0.68,2.76,2,7
45,46000,0.5,2.375,2,6
46,47000,0.375,2.8333333333333335,1,9
47,48000,0.64,2.92,4,8
48,49000,0.45454545454545453,2.6363636363636362,1,6
49,50000,0.8260869565217391,3.4347826086956523,3,10
50,51000,0.6818181818181818,2.4545454545454546,4,10
51,52000,0.30434782608695654,2.5652173913043477,2,7
52,53000,0.9130434782608695,4.173913043478261,4,19
53,54000,0.6190476190476191,4.238095238095238,2,11
54,55000,0.5909090909090909,2.8181818181818183,2,5
55,56000,0.5454545454545454,3.090909090909091,3,8
56,57000,0.32,2.2,1,8
57,58000,0.6666666666666666,3.625,2,11
58,59000,0.25,3.4,2,8
59,60000,0.30434782608695654,2.0434782608695654,2,8
