,Episodes,Scores,Time,Best Score,Best Time
0,1000,0.0,1.68,0,4
1,2000,0.08,1.72,1,5
2,3000,0.12,2.12,2,5
3,4000,0.16,1.84,1,5
4,5000,0.12,1.84,1,4
5,6000,0.32,1.32,2,4
6,7000,0.2,1.2,2,4
7,8000,0.32,1.28,2,4
8,9000,0.16,1.48,1,6
9,10000,0.36,1.32,2,3
10,11000,0.16,1.36,2,6
11,12000,0.16,1.24,1,4
12,13000,0.4,1.4,1,4
13,14000,0.24,1.32,1,4
14,15000,0.44,1.8,2,5
15,16000,0.36,1.76,2,4
16,17000,0.56,1.8,2,5
17,18000,0.36,1.56,2,4
18,19000,0.52,1.84,2,4
19,20000,0.44,1.8,3,9
20,21000,0.6,2.64,2,8
21,22000,0.6,2.0,3,7
22,23000,0.44,2.2,2,4
23,24000,0.48,1.84,2,5
24,25000,0.72,2.28,2,5
25,26000,0.68,2.28,3,9
26,27000,0.64,2.04,2,8
27,28000,0.9090909090909091,2.5,3,7
28,29000,0.8333333333333334,2.375,4,5
29,30000,0.8695652173913043,2.5217391304347827,3,7
30,31000,0.84,2.56,2,6
31,32000,0.88,2.8,2,7
32,33000,0.84,2.4,3,5
33,34000,1.04,3.36,3,11
34,35000,0.88,3.12,2,6
35,36000,1.24,4.08,3,8
36,37000,1.16,3.16,3,7
37,38000,1.28,3.36,3,9
38,39000,0.96,3.2,3,10
39,40000,1.44,3.92,3,12
40,41000,1.36,3.72,3,10
41,42000,0.88,2.68,2,7
42,43000,1.24,4.08,4,13
43,44000,1.16,4.0,3,11
44,45000,1.0,2.76,3,9
45,46000,1.52,5.04,5,14
46,47000,1.96,6.28,5,17
47,48000,1.9583333333333333,6.291666666666667,4,17
48,49000,2.04,6.36,6,20
49,50000,1.75,5.625,5,18
50,51000,1.2,3.6,4,14
51,52000,2.08,5.8,6,20
52,53000,2.04,6.36,5,18
53,54000,2.48,7.32,7,23
54,55000,1.8,4.68,5,17
55,56000,2.16,7.12,5,27
56,57000,1.96,7.8,4,22
57,58000,2.24,7.84,5,23
58,59000,3.2,11.12,8,30
59,60000,2.88,9.48,6,26
60,61000,2.92,9.56,8,26
61,62000,2.84,9.12,6,17
62,63000,2.52,9.2,6,19
63,64000,3.04,9.88,7,22
64,65000,2.72,10.36,6,22
65,66000,3.24,10.8,6,25
66,67000,3.44,12.08,9,31
67,68000,3.48,12.64,6,24
68,69000,2.8,10.48,6,25
69,70000,3.28,11.24,7,26
70,71000,4.04,14.96,7,27
71,72000,3.88,12.48,8,20
72,73000,3.56,13.0,7,26
73,74000,3.92,15.16,7,40
74,75000,3.6956521739130435,13.608695652173912,7,29
75,76000,4.75,17.208333333333332,7,27
76,77000,4.458333333333333,15.708333333333334,9,35
77,78000,4.260869565217392,14.043478260869565,8,30
78,79000,3.8333333333333335,12.666666666666666,8,25
79,80000,3.96,12.0,9,26
80,81000,4.0,14.32,8,28
81,82000,4.208333333333333,14.208333333333334,7,23
82,83000,4.24,13.44,7,24
83,84000,4.08,14.6,8,27
84,85000,5.04,17.0,9,31
85,86000,4.0,13.56,8,27
86,87000,4.28,14.28,8,31
87,88000,4.84,17.84,9,36
88,89000,3.96,14.2,7,30
89,90000,4.24,15.28,7,28
90,91000,3.96,13.8,9,36
91,92000,4.32,15.08,7,29
92,93000,3.92,13.16,8,28
93,94000,4.24,14.4,9,30
94,95000,4.76,16.76,7,33
95,96000,3.48,12.04,9,31
96,97000,4.2,13.96,7,29
97,98000,4.28,13.64,9,31
98,99000,4.72,17.76,9,36
99,100000,4.52,14.96,9,34
100,101000,5.48,20.8,10,33
101,102000,5.4,18.32,11,31
102,103000,4.6,17.84,9,30
103,104000,4.36,16.08,9,35
104,105000,4.92,16.6,9,30
105,106000,4.8,14.72,8,36
106,107000,5.12,17.08,10,31
107,108000,5.84,19.12,9,43
108,109000,5.44,19.56,8,36
109,110000,6.16,21.64,9,36
110,111000,5.76,20.52,10,40
111,112000,5.76,21.64,11,38
112,113000,5.28,17.16,9,31
113,114000,6.2,21.12,10,39
114,115000,5.08,18.0,8,31
115,116000,5.48,16.96,10,31
116,117000,5.08,16.72,9,38
117,118000,5.96,19.72,9,39
118,119000,6.24,20.76,10,35
119,120000,5.8,20.12,9,35
120,121000,5.36,18.12,9,33
121,122000,6.04,21.76,11,38
122,123000,6.16,23.36,10,40
123,124000,5.84,19.84,10,29
124,125000,5.44,19.12,10,39
125,126000,5.36,18.8,9,35
126,127000,6.64,22.96,10,35
127,128000,6.24,21.12,10,44
128,129000,6.24,22.04,10,36
129,130000,5.76,21.56,10,38
130,131000,5.24,17.96,10,39
131,132000,6.24,21.32,10,34
132,133000,6.76,23.64,10,38
133,134000,6.12,20.44,12,39
134,135000,6.24,21.32,11,32
135,136000,6.0,20.52,10,32
136,137000,5.8,19.88,10,32
137,138000,6.28,22.6,9,36
138,139000,6.04,23.04,9,37
139,140000,5.2,19.76,9,34
140,141000,6.12,22.6,10,40
141,142000,5.8,20.04,10,28
142,143000,6.04,21.68,10,57
143,144000,6.08,21.56,9,42
144,145000,6.36,22.72,9,39
145,146000,5.76,20.64,9,38
146,147000,6.6,23.88,10,41
147,148000,6.44,21.36,11,34
148,149000,6.92,23.76,9,39
149,150000,6.24,22.16,10,38
