,Episodes,Scores,Time,Best Score,Best Time
0,1000,0.12,1.32,1,3
1,2000,0.08,1.32,1,2
2,3000,0.04,1.2,1,3
3,4000,0.16,1.68,1,3
4,5000,0.0,1.6,0,4
5,6000,0.32,2.72,2,9
6,7000,0.28,2.08,3,6
7,8000,0.68,4.04,2,14
8,9000,0.76,4.04,2,12
9,10000,0.88,4.72,4,13
10,11000,0.48,3.0,3,11
11,12000,0.52,2.92,3,7
12,13000,0.68,2.92,3,7
13,14000,0.56,2.84,5,10
14,15000,0.68,2.72,2,6
15,16000,0.6666666666666666,4.0,2,9
16,17000,0.48,3.32,2,8
17,18000,0.56,3.72,3,12
18,19000,0.68,3.56,2,7
19,20000,0.48,2.48,3,7
20,21000,0.64,4.48,4,16
21,22000,0.68,4.48,3,13
22,23000,0.72,3.0,3,6
23,24000,0.5,1.9583333333333333,3,9
24,25000,0.88,3.68,2,16
25,26000,1.56,6.04,6,16
26,27000,1.24,5.48,4,17
27,28000,1.68,6.56,4,22
28,29000,1.2,5.24,5,19
29,30000,1.52,5.96,6,18
30,31000,1.72,6.24,4,17
31,32000,1.28,5.2,5,15
32,33000,2.36,7.84,7,36
33,34000,1.56,5.64,4,15
34,35000,1.48,5.88,7,24
35,36000,1.56,5.52,5,21
36,37000,1.64,5.64,4,17
37,38000,2.32,7.24,7,18
38,39000,1.84,6.92,5,18
39,40000,1.6,5.12,5,16
40,41000,2.3333333333333335,8.166666666666666,6,21
41,42000,2.2083333333333335,7.375,6,25
42,43000,3.32,10.4,7,26
43,44000,2.36,6.76,7,15
44,45000,2.36,7.72,5,22
45,46000,2.04,7.0,5,19
46,47000,2.24,8.56,7,20
47,48000,3.12,9.44,6,23
48,49000,3.12,11.68,7,26
49,50000,2.84,10.08,7,27
50,51000,2.52,8.48,6,20
51,52000,2.875,10.458333333333334,5,27
52,53000,4.32,15.24,8,32
53,54000,3.52,13.08,7,25
54,55000,2.96,9.8,8,28
55,56000,4.28,14.68,7,33
56,57000,3.88,13.0,8,26
57,58000,3.32,12.0,7,29
58,59000,3.12,10.72,7,29
59,60000,3.72,13.04,7,28
