,Episodes,Scores,Time,Best Score,Best Time
0,1000,0.0,0.92,0,2
1,2000,0.2,1.32,1,2
2,3000,0.12,1.68,1,6
3,4000,0.24,3.32,1,9
4,5000,0.28,2.52,3,7
5,6000,0.28,2.44,2,8
6,7000,0.32,3.04,1,11
7,8000,0.20833333333333334,2.25,1,6
8,9000,0.48,3.4,3,9
9,10000,0.44,2.96,2,9
10,11000,0.36,2.76,2,11
11,12000,0.24,3.4,1,9
12,13000,0.4,3.16,1,8
13,14000,0.52,3.24,3,12
14,15000,0.24,2.16,1,7
15,16000,0.2916666666666667,2.2083333333333335,2,6
16,17000,0.4,2.8,2,7
17,18000,0.44,2.36,2,6
18,19000,0.44,2.36,2,5
19,20000,0.52,3.32,2,9
20,21000,0.48,3.56,1,11
21,22000,0.2916666666666667,3.2916666666666665,1,14
22,23000,0.32,2.84,1,8
23,24000,0.625,3.5,2,8
24,25000,0.631578947368421,4.368421052631579,1,13
25,26000,0.52,3.0,3,10
26,27000,0.5909090909090909,2.772727272727273,2,8
27,28000,0.7142857142857143,3.238095238095238,2,9
28,29000,0.9565217391304348,5.086956521739131,4,15
29,30000,1.0,3.72,3,8
30,31000,0.92,4.52,3,12
31,32000,1.0,3.6956521739130435,3,14
32,33000,0.5,3.3333333333333335,2,10
33,34000,1.0434782608695652,4.826086956521739,5,17
34,35000,0.8181818181818182,3.6363636363636362,3,15
35,36000,0.36363636363636365,2.0,2,6
36,37000,1.1111111111111112,4.111111111111111,2,9
37,38000,0.782608695652174,3.9130434782608696,3,15
38,39000,0.6666666666666666,3.238095238095238,3,15
39,40000,1.0416666666666667,4.458333333333333,3,11
40,41000,0.76,3.76,2,13
41,42000,0.72,3.32,4,15
42,43000,0.782608695652174,3.8260869565217392,3,10
43,44000,0.47619047619047616,3.7142857142857144,2,9
44,45000,0.6363636363636364,3.0,2,10
45,46000,0.8333333333333334,4.0,3,11
46,47000,0.8260869565217391,3.6956521739130435,4,11
47,48000,0.7727272727272727,3.1818181818181817,3,11
48,49000,1.0,5.4,3,19
49,50000,0.52,3.16,4,14
50,51000,1.1764705882352942,4.470588235294118,3,16
51,52000,1.2727272727272727,4.2272727272727275,5,15
52,53000,0.6666666666666666,3.4761904761904763,2,13
53,54000,0.625,3.625,2,12
54,55000,1.12,5.08,4,21
55,56000,0.9047619047619048,4.761904761904762,3,13
56,57000,0.8695652173913043,4.956521739130435,3,16
57,58000,0.8695652173913043,3.0,3,12
58,59000,1.3,5.5,3,14
59,60000,1.2380952380952381,5.142857142857143,4,17
