,Episodes,Scores,Time,Best Score,Best Time
0,1000,0.16,1.6,2,4
1,2000,0.08,1.68,1,4
2,3000,0.2,1.96,2,9
3,4000,0.08,3.0,1,9
4,5000,0.13043478260869565,2.8260869565217392,1,10
5,6000,0.08,2.84,2,12
6,7000,0.13043478260869565,2.6956521739130435,1,8
7,8000,0.21739130434782608,2.130434782608696,1,8
8,9000,0.24,3.56,1,7
9,10000,0.3333333333333333,3.2083333333333335,1,8
10,11000,0.043478260869565216,3.5217391304347827,1,10
11,12000,0.08,2.24,1,6
12,13000,0.12,2.2,1,6
13,14000,0.28,3.12,1,8
14,15000,0.08333333333333333,2.25,1,7
15,16000,0.24,2.48,2,5
16,17000,0.24,1.8,2,5
17,18000,0.16,2.4,1,7
18,19000,0.28,2.44,2,8
19,20000,0.25,1.9583333333333333,2,5
20,21000,0.2916666666666667,2.8333333333333335,1,6
21,22000,0.17391304347826086,3.0,1,8
22,23000,0.4166666666666667,3.1666666666666665,2,9
23,24000,0.32,2.28,1,7
24,25000,0.391304347826087,2.5217391304347827,2,6
25,26000,0.2916666666666667,2.0833333333333335,1,4
26,27000,0.125,2.25,1,6
27,28000,0.25,2.6666666666666665,2,8
28,29000,0.16666666666666666,1.75,1,5
29,30000,0.2,2.4,1,6
30,31000,0.375,2.4166666666666665,2,7
31,32000,0.48,2.6,1,7
32,33000,0.2916666666666667,2.9583333333333335,1,6
33,34000,0.44,2.4,1,5
34,35000,0.36,2.32,2,7
35,36000,0.36,3.32,1,8
36,37000,0.6,3.2,3,8
37,38000,0.56,2.88,2,8
38,39000,0.48,2.6,2,6
39,40000,0.48,2.8,3,7
40,41000,0.44,2.44,3,8
41,42000,0.391304347826087,2.6956521739130435,2,8
42,43000,0.44,2.28,1,5
43,44000,0.48,2.2,2,6
44,45000,0.52,2.92,2,8
45,46000,0.64,2.84,2,7
46,47000,0.6,2.52,2,8
47,48000,0.52,2.64,2,8
48,49000,0.48,2.32,2,7
49,50000,0.6,3.24,2,10
50,51000,0.56,2.52,3,10
51,52000,0.84,3.2,3,10
52,53000,0.56,3.84,3,14
53,54000,0.76,3.6,3,17
54,55000,0.9545454545454546,3.0454545454545454,3,7
55,56000,0.92,4.32,2,10
56,57000,1.0434782608695652,3.8260869565217392,3,13
57,58000,1.08,5.04,5,18
58,59000,1.16,5.68,4,22
59,60000,1.375,5.25,4,15
